Level1,Level2,Difference,CI_low,CI_high,log_BF
Water TTI,DRA TTI,-0.1729210600729596,-0.24502468937161392,-0.09905342458058541,0
Water TTI,Water ULD,0.4299596589116663,0.35694725104774516,0.5031939979032769,0
Water TTI,DRA ULD,0.1789527075595032,0.10376583433713726,0.24465153400095652,0
Water TTI,Water AIXR,0.5819949743103257,0.5109044647670258,0.6592385753771115,0
Water TTI,DRA AIXR,0.3368917603183652,0.26245160399532086,0.4101029340491378,0
DRA TTI,Water ULD,0.6035437569898687,0.5257162647736067,0.6736266737888581,0
DRA TTI,DRA ULD,0.3515341405272414,0.2708768674118227,0.4163589997683985,0
DRA TTI,Water AIXR,0.7544428795085745,0.6800707125504237,0.8293211371348006,0
DRA TTI,DRA AIXR,0.5096869981996197,0.43587335065584654,0.5855554821864999,0
Water ULD,DRA ULD,-0.25167501097951517,-0.32020812921940056,-0.1693300505528752,0
Water ULD,Water AIXR,0.1516840642712185,0.07708688025636334,0.22618848291260907,0
Water ULD,DRA AIXR,-0.09251067927849244,-0.16775082725929114,-0.018965856651800728,0
DRA ULD,Water AIXR,0.40306181573224675,0.33098286262493204,0.47327238346944167,0
DRA ULD,DRA AIXR,0.1587797630599832,0.08831175378426526,0.23398745547626554,0
Water AIXR,DRA AIXR,-0.24371336126998777,-0.3199691339609192,-0.16808272773445943,0
