Level1,Level2,Difference,CI_low,CI_high,log_BF
(DRA-Open-AIXR),(DRA-Open-ULD),-109.87071803918286,-215.6990885267703,-9.563270775761794,0
(DRA-Open-AIXR),(DRA-Open-TTI),28.953448875106005,-70.04323150378355,137.77091515510256,0
(DRA-Open-AIXR),(DRA-Hood-ULD),200.40939200576332,106.16738493651735,286.9819602775585,0
(DRA-Open-AIXR),(DRA-Hood-TTI),214.15377940583465,126.38951900718791,297.3048260787558,0
(DRA-Open-AIXR),(DRA-Hood-AIXR),215.5317074351202,123.68223315568036,298.7863962481846,0
(DRA-Open-AIXR),(Open-ULD),298.04574690069114,180.75384376749196,420.5234175549034,0
(DRA-Open-AIXR),(Hood-TTI),56.60449047614759,-56.37001800436019,189.54277558801664,0
(DRA-Open-AIXR),(Open-AIXR),252.43030343152208,148.51242589652315,368.24565019216516,0
(DRA-Open-AIXR),(Open-TTI),239.94747174094653,142.55587658864908,343.3918238268461,0
(DRA-Open-AIXR),(Hood-AIXR),210.7896711449518,112.79163202561949,298.85669325529364,0
(DRA-Open-AIXR),(Hood-ULD),124.14768747054688,-0.9248199437035964,242.8529966485445,0
(DRA-Open-ULD),(DRA-Open-TTI),138.48302436934807,39.65699313892901,248.46394881948663,0
(DRA-Open-ULD),(DRA-Hood-ULD),309.7592521296095,216.77683904408514,400.9772846770293,0
(DRA-Open-ULD),(DRA-Hood-TTI),323.73234194502993,237.52746852488758,411.7879450238979,0
(DRA-Open-ULD),(DRA-Hood-AIXR),326.1243574132822,239.35412465378135,413.9588513019253,0
(DRA-Open-ULD),(Open-ULD),407.4518731968408,292.6276968849297,537.3557398919781,0
(DRA-Open-ULD),(Hood-TTI),167.47547675653607,40.86077748860407,289.9897502382282,0
(DRA-Open-ULD),(Open-AIXR),361.40907905273417,262.95983106588824,480.54190373534414,0
(DRA-Open-ULD),(Open-TTI),351.5719235971469,245.37468414317755,449.4026263458185,0
(DRA-Open-ULD),(Hood-AIXR),319.7905139195281,223.23306792120093,407.051326398896,0
(DRA-Open-ULD),(Hood-ULD),234.85936829626928,113.05117584094273,353.8682321576417,0
(DRA-Open-TTI),(DRA-Hood-ULD),170.8709077181532,81.10563401401464,270.62532830773114,0
(DRA-Open-TTI),(DRA-Hood-TTI),185.67377302760462,97.81259920068817,280.6567950840756,0
(DRA-Open-TTI),(DRA-Hood-AIXR),187.46997399039765,93.76919672778217,277.65883638601144,0
(DRA-Open-TTI),(Open-ULD),268.6437654004007,144.87289131510772,392.3350257289038,0
(DRA-Open-TTI),(Hood-TTI),29.517012334415426,-85.35475397174514,166.031150370899,0
(DRA-Open-TTI),(Open-AIXR),223.53432646476773,119.39709338197463,347.49422643996115,0
(DRA-Open-TTI),(Open-TTI),211.50000276121295,111.92353092728058,319.66937298303117,0
(DRA-Open-TTI),(Hood-AIXR),181.73125568817244,77.2497233689378,272.7100875862093,0
(DRA-Open-TTI),(Hood-ULD),95.24511981857972,-30.232344846290744,212.71918139219963,0
(DRA-Hood-ULD),(DRA-Hood-TTI),9.997675382023829,-42.21894406647061,86.23792005631026,0
(DRA-Hood-ULD),(DRA-Hood-AIXR),8.662194408261882,-24.724573108142977,85.42528144782511,0
(DRA-Hood-ULD),(Open-ULD),100.155990345622,-12.535202720571874,210.22215398840171,0
(DRA-Hood-ULD),(Hood-TTI),-144.05559272421408,-254.12718974651182,-8.62316335940909,0
(DRA-Hood-ULD),(Open-AIXR),46.28172273582754,-24.481175304271915,159.608265409654,0
(DRA-Hood-ULD),(Open-TTI),31.352197867944597,-27.831613049165526,140.73388813016834,0
(DRA-Hood-ULD),(Hood-AIXR),7.1292150489958885,-55.467068985361266,91.68682995396546,0
(DRA-Hood-ULD),(Hood-ULD),-75.28971229223907,-197.8424370770839,27.929567293006585,0
(DRA-Hood-TTI),(DRA-Hood-AIXR),2.1618385477851234,-45.074736639207,45.089107919892854,0
(DRA-Hood-TTI),(Open-ULD),85.41551824457991,-15.990657942862072,199.56991551229567,0
(DRA-Hood-TTI),(Hood-TTI),-158.8480719143393,-271.1695309622835,-25.39708213460267,0
(DRA-Hood-TTI),(Open-AIXR),29.322116113429274,-32.64640134127103,150.2746912629192,0
(DRA-Hood-TTI),(Open-TTI),18.590655857912566,-51.07882099529388,121.25820580018853,0
(DRA-Hood-TTI),(Hood-AIXR),-2.4214193225486156,-68.17136345571885,59.57030853714957,0
(DRA-Hood-TTI),(Hood-ULD),-91.65604103125338,-203.1536233129001,18.417622130549717,0
(DRA-Hood-AIXR),(Open-ULD),83.77802371637995,-11.997353168077211,194.84445312017215,0
(DRA-Hood-AIXR),(Hood-TTI),-161.93344444652905,-265.0059571881601,-16.17762556654293,0
(DRA-Hood-AIXR),(Open-AIXR),21.621350459999917,-24.15538840028421,145.9261217922807,0
(DRA-Hood-AIXR),(Open-TTI),11.220429634283164,-27.06133607878178,126.79408564581445,0
(DRA-Hood-AIXR),(Hood-AIXR),-3.870583483573512,-64.63797622728953,50.17241679351639,0
(DRA-Hood-AIXR),(Hood-ULD),-93.08893238085483,-201.17296882939377,9.321451252183579,0
(Open-ULD),(Hood-TTI),-240.9795577940028,-383.1281308481547,-100.86458607868883,0
(Open-ULD),(Open-AIXR),-42.45640853850807,-172.32539461784768,81.46980199195582,0
(Open-ULD),(Open-TTI),-55.31931245734796,-188.3849192051091,57.330773035325365,0
(Open-ULD),(Hood-AIXR),-88.79768204260267,-211.0188374546533,18.031126963919633,0
(Open-ULD),(Hood-ULD),-174.89682115860694,-314.4799253925594,-27.35213087677323,0
(Hood-TTI),(Open-AIXR),196.80912520051413,63.51365314823647,329.076655905195,0
(Hood-TTI),(Open-TTI),185.53606004188754,51.21754679868127,309.260355310289,0
(Hood-TTI),(Hood-AIXR),155.09639151906947,15.080957315851037,263.91718109660474,0
(Hood-TTI),(Hood-ULD),65.61623621743797,-73.06684137398611,207.01026379610698,0
(Open-AIXR),(Open-TTI),-7.662248247387595,-136.82840502926194,98.2788245515419,0
(Open-AIXR),(Hood-AIXR),-33.63596462549617,-158.7038660395774,30.754871988081277,0
(Open-AIXR),(Hood-ULD),-131.88578734263695,-250.9228969819021,8.100582800272377,0
(Open-TTI),(Hood-AIXR),-22.171186381561483,-139.24644930039642,39.51297375167019,0
(Open-TTI),(Hood-ULD),-118.76992964534935,-236.04649062759813,7.8767897532598,0
(Hood-AIXR),(Hood-ULD),-86.0678780772082,-205.69626213884396,23.844287193059927,0
