Parameter,Mean,SD,CI,CI_low,CI_high,log_BF
(DRA-Hood-AIXR) - (DRA-Hood-TTI),8.149600472910342,6.465850994705966,0.95,-3.9126940848335963,21.294911023162964,-0.7199225160079221
(DRA-Hood-AIXR) - (DRA-Hood-ULD),7.568356307857274,6.316737372861456,0.95,-3.751372347415309,20.50990036714287,-0.4026545301400404
(DRA-Hood-AIXR) - (DRA-Open-AIXR),-50.82663237926306,6.607341690415098,0.95,-63.80629275991323,-38.01772581191075,12.745023995169007
(DRA-Hood-AIXR) - (DRA-Open-TTI),-5.980410598728449,5.49842618537694,0.95,-16.38416011778193,5.44000685961991,-0.5557879221972564
(DRA-Hood-AIXR) - (DRA-Open-ULD),-11.532060224081027,6.195683194877716,0.95,-23.67917638276476,0.1575012101708424,0.852773950588885
(DRA-Hood-AIXR) - (Hood-AIXR),-9.789745563982928,6.915097399134123,0.95,-23.852780681496778,2.94329472153953,-0.03363843096405501
(DRA-Hood-AIXR) - (Hood-TTI),-5.560444611354616,6.350321265315874,0.95,-18.712329920738316,6.72539804569946,-0.6558386091335864
(DRA-Hood-AIXR) - (Hood-ULD),-9.197635991856837,6.82659034874004,0.95,-23.306303695432774,3.169583407543964,-0.247947077614361
(DRA-Hood-AIXR) - (Open-AIXR),-65.79135794732858,7.866993873214141,0.95,-81.45841121498012,-50.029214573008076,17.383484665730936
(DRA-Hood-AIXR) - (Open-TTI),-18.548587189599836,7.862804508938672,0.95,-34.11687371631683,-4.280751353957214,2.4199753747887303
(DRA-Hood-AIXR) - (Open-ULD),-51.206040415475734,7.941776738076155,0.95,-67.21059414988791,-35.70334936503066,13.250290215339819
(DRA-Hood-TTI) - (DRA-Hood-ULD),-0.5812441650530675,7.263949439253903,0.95,-15.418395805890855,13.163010054279555,-1.6259862093925825
(DRA-Hood-TTI) - (DRA-Open-AIXR),-58.9762328521734,7.302475405785761,0.95,-74.21663995080125,-45.434615631296595,14.135183934130172
(DRA-Hood-TTI) - (DRA-Open-TTI),-14.13001107163879,6.969303687757155,0.95,-27.63646262569266,-0.09957899731140785,0.16205509262495543
(DRA-Hood-TTI) - (DRA-Open-ULD),-19.68166069699137,7.3027742540807665,0.95,-33.929944387997615,-5.439796751981689,1.7199139618906214
(DRA-Hood-TTI) - (Hood-AIXR),-17.93934603689327,8.028588015363548,0.95,-33.990647341053474,-2.3314262602545277,0.9998321620562711
(DRA-Hood-TTI) - (Hood-TTI),-13.710045084264959,7.818789698588148,0.95,-29.190779772112524,1.044536802963119,-0.14050403872960612
(DRA-Hood-TTI) - (Hood-ULD),-17.347236464767178,8.048312891531834,0.95,-32.536625658101386,-1.957878301137626,0.6935182398154618
