Parameter,Mean,SD,CI,CI_low,CI_high,log_BF
AIXR DRA - TTI DRA,2.379849925573667,0.34127428654423225,0.95,1.6790764898899644,3.0404730682563312,12.15620254848814
AIXR DRA - ULD DRA,0.6659048118146962,0.18948788257227178,0.95,0.282332968857395,1.0450271365203685,1.7368705246515574
AIXR DRA - AIXR Water,-0.4427781941130752,0.1405747232033787,0.95,-0.7393365974497028,-0.1860221914165785,1.1245690828632684
AIXR DRA - TTI Water,1.5732591108334455,0.27100809303269996,0.95,1.0671024211269908,2.123898594068982,6.047161429973805
AIXR DRA - ULD Water,-0.27013989603321004,0.15723288465177176,0.95,-0.5914857588089468,0.018723783815398853,-4.903003435133286
TTI DRA - ULD DRA,-1.713945113758971,0.3567602818973459,0.95,-2.43965583116263,-1.0422908302796934,4.309066903131614
TTI DRA - AIXR Water,-2.822628119686742,0.341628316495063,0.95,-3.4727872324168967,-2.1391644636374836,14.816945366469954
TTI DRA - TTI Water,-0.8065908147402215,0.37382956970910436,0.95,-1.5724960576122937,-0.08863365788244781,-1.4780743604496296
TTI DRA - ULD Water,-2.649989821606877,0.34290642528843096,0.95,-3.338350608281072,-2.004053817592752,11.64485080132902
ULD DRA - AIXR Water,-1.1086830059277715,0.18069093770044137,0.95,-1.4702904529827654,-0.7443162635649805,6.632299026423427
ULD DRA - TTI Water,0.9073542990187493,0.28980569826045,0.95,0.3280227319798579,1.4828330095958626,-2.1979395524995846
ULD DRA - ULD Water,-0.9360447078479063,0.18071582119827398,0.95,-1.2795044458804097,-0.5587968966294561,3.5671404582640536
AIXR Water - TTI Water,2.016037304946521,0.25715899440484274,0.95,1.5027058253205796,2.496771160902535,12.592738670187586
AIXR Water - ULD Water,0.17263829807986514,0.14030688204440644,0.95,-0.10105393498381021,0.45409254563316104,-5.5688079918044044
TTI Water - ULD Water,-1.8433990068666555,0.2660149578875736,0.95,-2.415406023676051,-1.381533266521184,6.957638607087409
