Level1,Level2,Difference,CI_low,CI_high,BF,Std_Difference
DRA AIXR,Water AIXR,0.14325842297973496,0.0702480459824213,0.2169665614420643,3.0242702720066177,0.14325842297973496
DRA AIXR,DRA TTI,-0.7162886130444439,-0.7894692906999013,-0.6397599184823718,29207516557489.254,-0.7162886130444439
DRA AIXR,Water TTI,-0.4855919957711245,-0.5572006962767116,-0.41390358627447565,10290961.207430393,-0.4855919957711245
DRA AIXR,DRA ULD,-0.22694286246331755,-0.3006410596025723,-0.15405557889647584,290.4887303029297,-0.22694286246331755
DRA AIXR,Water ULD,0.1051482864200742,0.026873487444970423,0.17448107599413507,0.057708333637826625,0.1051482864200742
Water AIXR,DRA TTI,-0.8591081365189355,-0.9320189268196472,-0.7807217534925027,19228333220382.78,-0.8591081365189355
Water AIXR,Water TTI,-0.6296061008828677,-0.7017634250510487,-0.5594783926402876,468292786.1232103,-0.6296061008828677
Water AIXR,DRA ULD,-0.3694319018761193,-0.4436540148295361,-0.2930710082561411,10857.586904114987,-0.3694319018761193
Water AIXR,Water ULD,-0.03812388292076219,-0.10566591435798961,0.040270682627997656,0.007822743307109073,-0.03812388292076219
DRA TTI,Water TTI,0.23009729251160999,0.15108010285353807,0.2972751933893444,187.46170117294568,0.23009729251160999
DRA TTI,DRA ULD,0.48975662270005904,0.41048068379077673,0.5605263857618248,44610306.87555739,0.48975662270005904
DRA TTI,Water ULD,0.820191271167317,0.7488451853896879,0.8915003947389198,2129902288549718,0.820191271167317
Water TTI,DRA ULD,0.2594938844619942,0.1846871305864072,0.32917340749132085,322.3116541833734,0.2594938844619942
Water TTI,Water ULD,0.5909875587694154,0.5196610783165856,0.6639480190418735,69891796955.08961,0.5909875587694154
DRA ULD,Water ULD,0.33219435117758567,0.25732749615979544,0.4016703836847012,30143.218534026542,0.33219435117758567
