Parameter,Mean,SD,CI,CI_low,CI_high,log_BF
AIXR DRA - TTI DRA,-0.5993158489342414,0.036155578767650846,0.95,-0.6737256118228494,-0.5304084647805691,25.40364959046729
AIXR DRA - ULD DRA,-0.1908354948761573,0.03568675476488798,0.95,-0.26267898604838535,-0.12204906435615648,4.59422446922763
AIXR DRA - AIXR Water,0.18803960395309668,0.03657956972413626,0.95,0.11729985751160488,0.25955270126967633,3.615750370204788
AIXR DRA - TTI Water,-0.41553072749748476,0.03667449245213993,0.95,-0.4877726454777065,-0.3405221948867059,12.558086253370634
AIXR DRA - ULD Water,0.136339820503033,0.036731716199897436,0.95,0.06285133247857999,0.20652413095333522,-0.7987460692263926
TTI DRA - ULD DRA,0.408480354058084,0.03563574653396046,0.95,0.3330979204104523,0.47569967969581217,16.260050873064873
TTI DRA - AIXR Water,0.787355452887338,0.03575069058064219,0.95,0.7169783740715738,0.8596876369957629,29.087266507465166
TTI DRA - TTI Water,0.18378512143675657,0.036635225217787754,0.95,0.11095901599049096,0.25612869704898156,2.5407299137928243
TTI DRA - ULD Water,0.7356556694372743,0.035903477518264566,0.95,0.6635541069202731,0.8027640229181143,31.898494215724952
ULD DRA - AIXR Water,0.37887509882925396,0.03617667554786079,0.95,0.3125592733271043,0.45495010978367834,12.922217246224703
ULD DRA - TTI Water,-0.22469523262132748,0.03712400683458143,0.95,-0.29884755996573276,-0.1523793178216799,3.1375712008088987
ULD DRA - ULD Water,0.3271753153791903,0.03618967756043524,0.95,0.25880603889660403,0.4012949793166207,10.364640572364458
AIXR Water - TTI Water,-0.6035703314505815,0.03650881879732043,0.95,-0.6733878667258386,-0.5285419857884834,22.73380936681192
AIXR Water - ULD Water,-0.051699783450063666,0.036013807138029014,0.95,-0.12502388979681012,0.018953892845079423,-4.532886374579365
TTI Water - ULD Water,0.5518705480005178,0.03644643935214488,0.95,0.4792662644506649,0.6233382643420073,23.685447482691902
