Parameter,Mean,SD,CI,CI_low,CI_high,log_BF
AIXR DRA - TTI DRA,0.20059961366547613,0.03621337146141586,0.95,0.13060695787835772,0.27239064460065787,2.442928814250868
AIXR DRA - ULD DRA,0.0641018275362678,0.03686847016286421,0.95,-0.005152517083734286,0.13920262454672327,-4.367798246646695
AIXR DRA - AIXR Water,0.10811169816176809,0.036541343845102804,0.95,0.032126434652486074,0.1785577602265345,-1.037071132311362
AIXR DRA - TTI Water,0.15287981175793613,0.03584386331049014,0.95,0.08268635225201536,0.2241151114138128,-0.984925301413038
AIXR DRA - ULD Water,-0.04654516513477527,0.03699155136153726,0.95,-0.11559273896061126,0.029039839313029947,-6.922112614352494
TTI DRA - ULD DRA,-0.13649778612920835,0.0362103298681191,0.95,-0.21171883631487104,-0.065873962139581,-2.3569172547650172
TTI DRA - AIXR Water,-0.09248791550370804,0.036482217356969784,0.95,-0.1735994296311411,-0.02891221224177508,-3.4785581774535315
TTI DRA - TTI Water,-0.04771980190753999,0.0351592625244562,0.95,-0.11542474592927904,0.02278036595325203,-5.6856703852874135
TTI DRA - ULD Water,-0.2471447788002514,0.036811575530782015,0.95,-0.3187720750964357,-0.17287266600750006,1.9525965282302726
ULD DRA - AIXR Water,0.044009870625500304,0.036655760815431364,0.95,-0.02592818705935277,0.1182879389406164,-5.732043224534817
ULD DRA - TTI Water,0.08877798422166835,0.0366502236447932,0.95,0.015303547220641464,0.1598934277876714,-5.307616037542584
ULD DRA - ULD Water,-0.11064699267104305,0.03609896304847443,0.95,-0.1851779242527387,-0.04257635763255183,-2.2793171505595815
AIXR Water - TTI Water,0.04476811359616805,0.03679089032475265,0.95,-0.03127859192684332,0.11544312668108139,-6.255089698332136
AIXR Water - ULD Water,-0.15465686329654335,0.0367565127235124,0.95,-0.22840600681383277,-0.08091562569646825,-0.5465193520928898
TTI Water - ULD Water,-0.1994249768927114,0.03670181715120807,0.95,-0.2698662775261944,-0.12316686478221628,1.2803231610569894
