Parameter,Mean,SD,CI,CI_low,CI_high,log_BF
(DRA-Hood-AIXR) - (DRA-Hood-TTI),-1.439205398204294,21.010868653112993,0.95,-45.089107919892854,45.074736639207,-0.23020380284262953
(DRA-Hood-AIXR) - (DRA-Hood-ULD),-15.969011194795101,27.44435061597036,0.95,-85.42528144782511,24.724573108142977,-0.28287917512454985
(DRA-Hood-AIXR) - (DRA-Open-AIXR),-215.2639055023515,44.72867328748564,0.95,-298.7863962481846,-123.68223315568036,9.129141756302921
(DRA-Hood-AIXR) - (DRA-Open-TTI),-186.4021342814572,46.989037185635375,0.95,-277.65883638601144,-93.76919672778217,6.453425648142229
(DRA-Hood-AIXR) - (DRA-Open-ULD),-325.07957150340087,44.871546577799435,0.95,-413.9588513019253,-239.35412465378135,22.231753084234875
(DRA-Hood-AIXR) - (Hood-AIXR),-5.272929609600551,25.437682773987817,0.95,-64.63797622728953,50.17241679351639,-0.27709883981791655
(DRA-Hood-AIXR) - (Hood-TTI),-156.9069524976628,61.19932439937652,0.95,-265.0059571881601,-16.17762556654293,2.6903102951788105
(DRA-Hood-AIXR) - (Hood-ULD),-91.57809699287193,62.35258497057141,0.95,-201.17296882939377,9.321451252183579,0.8450478025760253
(DRA-Hood-AIXR) - (Open-AIXR),39.76273601914477,49.62705987860826,0.95,-24.15538840028421,145.9261217922807,0.21575078171637627
(DRA-Hood-AIXR) - (Open-TTI),26.238900805621782,41.39964730263173,0.95,-27.06133607878178,126.79408564581445,-0.762767591604951
(DRA-Hood-AIXR) - (Open-ULD),84.50465005199584,61.4823482636068,0.95,-11.997353168077211,194.84445312017215,1.0134717124758836
(DRA-Hood-TTI) - (DRA-Hood-ULD),-14.529805796590807,31.535179847213026,0.95,-86.23792005631026,42.21894406647061,-0.5414430044926649
(DRA-Hood-TTI) - (DRA-Open-AIXR),-213.82470010414718,44.47773419584584,0.95,-297.3048260787558,-126.38951900718791,7.599536548634514
(DRA-Hood-TTI) - (DRA-Open-TTI),-184.96292888325289,46.83728130884611,0.95,-280.6567950840756,-97.81259920068817,6.71690796866021
(DRA-Hood-TTI) - (DRA-Open-ULD),-323.64036610519656,45.12062093985285,0.95,-411.7879450238979,-237.52746852488758,13.899143572377328
(DRA-Hood-TTI) - (Hood-AIXR),-3.8337242113962566,30.796139316411328,0.95,-68.17136345571885,59.57030853714957,-0.5832659313358777
(DRA-Hood-TTI) - (Hood-TTI),-155.4677470994585,60.44655164420551,0.95,-271.1695309622835,-25.39708213460267,2.7405325921099806
(DRA-Hood-TTI) - (Hood-ULD),-90.13889159466764,61.483910631689696,0.95,-203.1536233129001,18.417622130549717,0.8033814257020583
(DRA-Hood-TTI) - (Open-AIXR),41.20194141734906,49.75825231409056,0.95,-32.64640134127103,150.2746912629192,-0.14796436110795066
(DRA-Hood-TTI) - (Open-TTI),27.678106203826076,43.17491354771809,0.95,-51.07882099529388,121.25820580018853,-0.8893268137040069
(DRA-Hood-TTI) - (Open-ULD),85.94385545020013,60.36041409745348,0.95,-15.990657942862072,199.56991551229567,0.7713127413687566
(DRA-Hood-ULD) - (DRA-Open-AIXR),-199.29489430755638,46.68055268199355,0.95,-286.9819602775585,-106.16738493651735,6.7810328678948375
(DRA-Hood-ULD) - (DRA-Open-TTI),-170.43312308666208,48.44735483652891,0.95,-270.62532830773114,-81.10563401401464,5.390481888139224
